COMPANY NAME,FIELD,RATINGS,LOCATION,REVIEW,SALARY,JOB
Grasim Industries,Building Material ,4.0,Bharuch,3.8k,12.8k,6
Aditya Birla Sun Life Insurance,Insurance ,4.0,Mumbai,3.8k,10.1k,1
Kyndryl,IT Services & Consulting ,4.0,Bengaluru,3.8k,26.6k,4
Reliance Communications,Telecom ,4.0,Mumbai,3.8k,9.4k,--
Carelon Global Solutions,IT Services & Consulting ,3.9,Bengaluru,4.1k,28.5k,53
Altruist Technologies,BPO ,4.4,Bengaluru,3.8k,8.3k,5
XpressBees,Logistics ,4.2,Pune,3.8k,8.2k,11
ADP Private Limited,Software Product ,3.9,Hyderabad,3.8k,22.1k,65
PNB MetLife,Insurance ,3.4,New Delhi,3.8k,8k,16
Aditya Birla Capital,NBFC ,3.8,Mumbai,3.8k,14.1k,3
Viatris,Pharma ,4.1,Hyderabad,3.8k,14.1k,4
PVR INOX,Media & Entertainment ,3.9,New Delhi,3.8k,9.5k,24
Escorts Kubota Limited,Automobile ,4.1,Faridabad,3.8k,13.5k,3
Maersk,Logistics ,4.0,Chennai,3.7k,19.1k,40
Cloudnine Hospital,Healthcare ,4.5,Bengaluru,3.7k,3k,18
KPIT Technologies,Software Product ,2.9,Pune,3.7k,23.3k,16
Synechron,IT Services & Consulting ,3.4,Pune,3.7k,28.4k,179
Birlasoft,IT Services & Consulting ,3.5,Pune,3.7k,29.9k,521
JK Cement,Building Material ,4.0,New Delhi,3.7k,9.9k,2
Glenmark Pharmaceuticals,Pharma ,3.8,Mumbai,3.7k,12.4k,26
Dabur,FMCG ,3.8,New Delhi,3.7k,8.8k,15
Sodexo,Facility Management Services ,4.0,Mumbai,3.6k,9.9k,910
Bharat Electronics,Electronics Manufacturing ,4.2,Bengaluru,3.6k,12.6k,1
Kotak Mahindra Life Insurance Company,Insurance ,3.5,Mumbai,3.6k,12.5k,158
Godrej & Boyce Manufacturing,Consumer Electronics & Appliances ,3.9,Mumbai,3.6k,15.1k,47
Cogent E Services,BPO ,3.2,Noida,3.6k,10.3k,2
Samvardhana Motherson Group,Auto Components ,3.7,Noida,3.6k,12.1k,19
Abbott,Pharma ,4.1,Mumbai,3.6k,12k,178
Ipca Laboratories,Pharma ,3.8,Mumbai,3.6k,11.5k,48
Aarti Industries,Agro Chemicals ,4.1,Bharuch,3.6k,14.4k,42
PhonePe,FinTech ,4.0,Bengaluru,3.6k,13.3k,83
Reliance Projects & Property Management Services,Other ,4.0,Kolkata,3.5k,7.3k,--
Indian Oil Corporation,Oil & Gas ,4.4,New Delhi,3.5k,7.8k,--
Reliance Digital,Retail ,4.1,Mumbai,3.5k,7.9k,--
MRF Tyres,Auto Components ,3.6,Chennai,3.5k,12.8k,18
UNO Minda,Auto Components ,4.0,Pune,3.5k,11.4k,10
Alkem Laboratories,Pharma ,3.9,Mumbai,3.5k,9.8k,23
IGT Solutions,BPO ,3.2,New Delhi,3.5k,13.5k,105
Johnson Controls,Industrial Automation ,3.5,Pune,3.5k,17.7k,3
"NTT DATA, Inc.",IT Services & Consulting ,3.9,Bengaluru,3.5k,21.2k,92
Honda Motorcycle & Scooter,Automobile ,4.1,Gurugram,3.5k,11.1k,1
Blinkit,Internet ,3.8,Gurugram,3.5k,13.1k,2
ArcelorMittal Nippon Steel,Iron & Steel ,4.1,Surat,3.4k,12k,6
[24]7.ai,Software Product ,3.4,Bengaluru,3.4k,11.7k,95
Vishal Mega Mart,Retail ,3.8,New Delhi,3.4k,6.2k,7
Hindustan Coca Cola Beverages,Beverage ,4.0,Bengaluru,3.4k,7.9k,54
UBS,Financial Services ,3.8,Pune,3.4k,32k,1
IndusInd Nippon Life Insurance, ,3.4,Mumbai,3.4k,4.7k,1
DTDC Express,Logistics ,3.7,New Delhi,3.4k,8.7k,30
ABB,Industrial Machinery ,4.0,Bengaluru,3.4k,18.1k,3k
Bajaj General Insurance Limited,Insurance ,3.7,Pune,3.4k,10.7k,264
Ford Motor,Automobile ,4.2,Chennai,3.4k,15.3k,3
Barclays,Banking ,3.7,Pune,3.3k,32.3k,--
Ceat Tyres,Auto Components ,3.9,Nagpur,3.3k,13.1k,13
RSPL Group,FMCG ,4.0,Kanpur,3.3k,9.6k,16
